user_index,user_id,password,gender,age_group,cheese_texture,buy_count
28084,1259546,1,1,2,1,1
23985,5821110,1,1,3,1,1
4571,1629442,1,0,3,1,1
32323,4114716,1,1,4,1,2
7717,5370160,1,1,2,1,1
15173,6058308,1,1,2,1,1
25683,798595,1,1,3,1,1
26693,4911288,1,1,2,1,1
35123,4276103,1,1,2,1,1
1869,4283579,1,1,1,1,2
2199,5880795,1,1,2,2,2
13170,6164905,1,1,3,1,1
1447,1721614,1,1,4,2,40
8775,1096314,1,1,4,4,1
18331,3371900,1,1,2,1,1
3065,3502206,1,1,3,1,2
27159,1109417,1,1,2,1,4
32516,773212,1,1,3,1,1
35907,5933747,1,1,2,1,1
20068,4436300,1,1,3,4,2
29520,2960145,1,1,2,4,2
29987,6257097,1,1,2,1,1
29063,2321849,1,1,4,4,2
234,1592091,1,0,5,1,1
19724,3682013,1,1,2,1,2
19393,1343138,1,1,3,1,1
30689,84230,1,1,2,1,1
4149,3508704,1,1,3,4,20
4530,1174878,1,1,3,1,3
3255,6092561,1,1,2,1,2
10250,411126,1,1,3,1,1
2781,1921720,1,1,2,1,2
16041,3925391,1,0,2,1,1
31576,455067,1,1,3,1,1
29046,5999473,1,1,2,4,1
7946,3763353,1,1,2,1,1
7997,5456965,1,0,2,3,2
14277,3567693,1,0,3,2,3
36530,1906257,1,1,3,1,1
28482,6424284,1,1,2,1,1
34370,2257968,1,1,3,1,1
7697,5161466,1,1,3,1,5
11733,977619,1,1,2,1,2
27048,4075145,1,1,2,1,3
36483,6529708,1,1,2,1,1
17558,4699658,1,1,2,1,1
15227,6182660,1,1,3,1,2
6139,3421154,1,1,2,2,2
18158,3255109,1,1,2,1,1
11459,688030,1,0,2,4,2
15123,5839142,1,1,3,1,1
287,5541904,1,1,4,4,1
17030,2206231,1,1,3,2,1
13663,6371624,1,1,2,1,1
23274,3723887,1,1,3,1,2
24912,3514157,1,0,5,1,1
32765,3401495,1,1,3,1,1
21961,1818490,1,1,2,1,1
25932,938890,1,1,1,4,1
20085,5762698,1,1,3,3,1
26477,3720812,1,1,3,1,2
11262,2987285,1,1,3,1,10
10556,5836844,1,1,2,4,1
10113,6443283,1,1,4,1,2
13627,3023240,1,1,4,1,1
5102,6537629,1,1,3,3,1
8638,2178130,1,1,2,4,1
29972,4060096,1,1,3,2,1
1378,6491770,1,1,2,3,1
594,6139984,1,1,3,3,2
21031,5813316,1,1,3,1,6
12316,4570075,1,1,3,1,1
1686,574386,1,1,3,1,1
1372,259318,1,1,3,1,1
24989,3202030,1,1,2,1,10
7737,2580273,1,1,3,1,2
6097,2812961,1,0,3,1,2
2200,5880795,1,1,2,1,2
34792,3437842,1,1,4,3,1
320,2518252,1,1,3,4,1
16816,4557779,1,1,3,2,1
32613,4392695,1,1,2,1,2
471,4668818,1,1,3,3,1
21139,807402,1,1,2,1,1
13146,4962360,1,1,3,1,1
20497,4979147,1,1,2,1,2
10374,3984594,1,1,2,1,1
14903,3307165,1,1,4,1,1
20665,3993186,1,1,2,1,3
18988,3152484,1,1,2,1,5
12545,220016,1,1,3,1,1
27938,5425689,1,1,4,1,1
17790,4112763,1,1,1,1,2
26472,2037255,1,1,4,1,1
17373,1930972,1,1,2,1,6
18296,5754828,1,1,2,1,1
20926,3283110,1,1,1,1,20
30336,3615611,1,1,2,1,1
5183,5954018,1,1,2,1,3
10137,2315884,1,1,3,1,1
27084,4748062,1,1,4,1,1
32025,4682795,1,0,2,1,1
17617,913870,1,1,1,1,1
3410,1886045,1,0,3,1,10
3456,2008323,1,1,3,1,5
33717,73146,1,1,2,1,1
25053,2574391,1,1,1,2,1
33204,800083,1,1,3,3,1
14855,5593710,1,1,1,1,1
906,5654895,1,1,3,5,1
26881,2649237,1,1,2,1,2
26377,3562060,1,1,2,2,1
30455,1732146,1,1,2,1,1
2442,10097,1,1,2,1,1
21984,3607255,1,1,1,1,1
34495,4659976,1,1,2,1,1
23378,5672074,1,1,3,1,10
25917,1382619,1,1,2,1,4
8979,325745,1,1,2,1,1
1258,509839,1,1,2,3,1
18247,1303482,1,0,4,3,1
21945,3226132,1,1,2,1,1
26306,2393482,1,1,3,1,1
15886,181350,1,1,3,1,1
26727,1390400,1,1,3,1,1
34326,6350922,1,1,2,1,1
4193,6514725,1,0,1,4,30
4333,6276761,1,1,3,1,4
6609,4179791,1,1,3,1,1
13633,385690,1,0,1,1,1
17727,703442,1,1,2,1,1
34407,3277370,1,1,2,1,5
9767,130042,1,1,4,2,1
36736,2688298,1,1,4,1,1
2558,2819144,1,1,2,1,2
31008,2729982,1,1,2,1,1
32230,6356103,1,0,3,1,1
28177,5434173,1,1,2,1,1
20002,1416392,1,1,3,1,1
3978,5380000,1,1,2,1,2
21124,4681922,1,1,2,1,1
30431,5291163,1,1,2,1,1
34500,4455495,1,1,2,1,2
10563,8613,1,1,4,4,1
33747,6455252,1,0,2,1,1
12780,297123,1,1,3,4,1
13606,1123215,1,1,3,1,2
18142,5397339,1,1,2,1,1
18285,6294157,1,1,2,1,1
12622,1226806,1,0,3,1,3
29529,334285,1,0,2,4,1
32073,4416501,1,1,3,1,3
22430,3182597,1,1,2,1,1
12056,1153263,1,1,3,1,1
5075,3253934,1,1,4,3,2
4344,1103244,1,1,3,1,1
14266,2861268,1,1,3,1,1
35244,755720,1,1,2,1,10
19696,4670712,1,1,3,1,2
4128,5422016,1,1,4,1,1
19701,1593016,1,1,3,1,1
2413,6518817,1,1,2,1,3
23209,2379712,1,1,2,2,1
24651,2252,1,0,4,1,1
30260,5531638,1,1,2,1,1
6593,1694936,1,1,3,1,2
27401,1242759,1,1,3,1,2
29697,3302025,1,0,3,1,3
5720,1907218,1,1,2,4,1
31048,5740806,1,0,2,1,1
20329,1808560,1,1,2,1,1
15817,4002488,1,1,3,1,2
10851,3374187,1,1,3,1,1
12951,5781353,1,1,1,1,2
17772,1407490,1,1,2,1,1
17847,5424611,1,1,3,1,10
17726,3554625,1,1,2,1,2
5621,1764700,1,1,1,1,1
26132,6134445,1,1,2,1,1
6971,1366405,1,1,2,4,1
20917,1877056,1,1,3,1,5
17160,3522725,1,1,3,2,3
25180,6054158,1,1,2,2,1
20696,1161274,1,1,2,1,4
20758,2738563,1,1,3,1,6
23247,1952945,1,1,2,3,1
17275,2238150,1,0,1,3,6
3992,5465163,1,1,2,1,1
10162,3055363,1,1,4,1,1
2494,5965057,1,1,3,1,2
26662,1653205,1,1,2,1,1
13612,609610,1,0,2,1,1
3489,5724029,1,1,3,1,10
2819,4663536,1,0,3,1,1
31108,3990598,1,1,2,1,1
18358,5191732,1,0,5,1,1
14947,5352713,1,1,3,2,3
5128,3105866,1,1,1,1,1
35070,3847865,1,1,3,1,1
11492,2565602,1,1,3,4,4
13718,219462,1,1,2,1,1
32043,3055283,1,0,1,1,1
21476,3327532,1,1,2,4,3
13013,6302488,1,1,1,1,1
28307,4449975,1,1,3,1,1
35866,1778965,1,1,4,1,1
35970,595329,1,1,2,1,1
10413,5853146,1,1,2,1,1
10053,3493840,1,1,2,1,2
12313,3208807,1,1,3,1,2
25431,2147435,1,1,2,1,1
9379,2360520,1,1,2,1,1
7987,6359869,1,1,3,1,1
27513,1495904,1,1,3,1,1
7481,2988627,1,1,2,1,1
22904,5207091,1,0,1,1,10
26612,4283690,1,1,2,1,2
24230,4761530,1,1,2,1,9
6081,4337406,1,1,3,3,2
18993,2420655,1,1,3,1,3
19277,2362271,1,1,2,1,1
35566,4976810,1,0,3,1,1
35436,6207303,1,1,3,2,1
15028,1979005,1,1,2,1,3
11114,5737083,1,1,2,2,1
36501,3335935,1,1,4,1,1
1357,967970,1,1,2,1,2
13740,6400769,1,0,3,1,1
817,1858217,1,1,4,1,1
27195,6454280,1,1,2,1,2
25266,597222,1,1,3,2,1
19991,2890850,1,1,2,1,2
577,215338,1,1,2,3,1
28781,5446836,1,1,1,1,1
31088,484264,1,1,2,1,1
1979,4573229,1,1,3,1,1
19471,4847907,1,1,1,1,6
20849,1762595,1,1,3,1,2
16867,1537331,1,1,3,2,1
16404,1493003,1,1,2,3,2
5394,6149549,1,1,3,4,1
15055,4119632,1,1,3,3,1
14944,5352713,1,1,3,4,1
26277,4062091,1,1,1,1,20
31303,1102193,1,1,2,1,1
405,529740,1,1,1,4,1
12836,2071731,1,1,3,4,1
25019,1617288,1,1,2,1,1
13706,4957723,1,1,3,1,1
24465,5732335,1,0,1,1,2
18059,2880685,1,1,2,1,1
10549,5584840,1,1,1,4,1
32934,6380057,1,1,2,1,1
16134,393059,1,1,2,1,3
18963,2745813,1,1,3,1,2
5973,4618324,1,0,4,1,4
33379,344899,1,1,1,1,1
17090,5750140,1,1,5,2,1
22736,731140,1,1,2,4,1
17691,5511951,1,1,2,1,4
15275,3016673,1,1,3,2,1
31023,526358,1,1,3,1,1
18794,5423783,1,1,2,1,1
18230,4700106,1,1,2,1,1
973,1600849,1,1,3,1,3
8408,6006516,1,1,4,1,1
10379,3597872,1,1,2,1,1
15396,1385788,1,1,2,1,1
30115,4302043,1,1,2,1,1
23808,6462396,1,1,2,1,1
35865,2825977,1,1,3,1,1
22466,1010135,1,1,3,1,1
7368,2799168,1,1,1,1,1
1599,1981525,1,1,2,1,2
5209,3556350,1,1,3,1,1
24060,5125414,1,0,2,4,1
36449,1900608,1,1,4,1,2
35776,3195903,1,1,3,1,1
5687,3307687,1,1,2,1,2
13658,2864785,1,0,3,4,1
33365,1348350,1,0,3,1,1
23519,4789955,1,1,2,1,1
25735,5066426,1,1,3,1,3
20647,6280851,1,1,2,2,1
10182,973251,1,1,3,1,1
14426,1924418,1,1,2,1,2
23912,6257562,1,0,2,1,1
26983,6281763,1,1,2,1,2
19323,1710522,1,1,1,1,2
791,3440466,1,1,3,2,1
16724,3660606,1,1,3,2,1
20385,1650274,1,1,2,1,8
31474,2938490,1,1,2,1,1
17465,1262256,1,1,3,1,3
6128,3934477,1,1,2,1,1
18504,2279329,1,1,3,1,1
30097,1910683,1,0,2,1,1
29689,1862711,1,1,1,1,1
27860,4671779,1,0,2,1,1
19530,1718175,1,1,1,1,1
10966,1747758,1,1,4,2,1
2091,4447021,1,1,2,1,1
28413,2730041,1,1,2,1,1
32094,1845262,1,1,2,1,1
31274,437660,1,0,2,1,1
3839,3933301,1,1,3,2,1
6816,4811786,1,0,2,1,5
8833,5850014,1,1,4,1,2
207,3967926,1,1,2,1,1
19404,5455211,1,0,3,1,1
21263,5160935,1,1,2,1,10
26577,1652403,1,1,3,1,1
27871,6148998,1,1,3,1,1
35353,2804278,1,1,1,1,1
19865,3941547,1,1,3,1,2
18263,1143761,1,0,3,4,1
28203,3666176,1,1,3,1,1
6037,5234629,1,1,4,1,1
27968,2555426,1,1,2,1,1
12631,3612075,1,1,3,4,1
2847,2694710,1,0,3,1,1
5061,2674577,1,1,3,3,1
12677,5366254,1,1,2,1,3
9149,4678369,1,1,3,1,1
8429,4646366,1,1,3,1,2
4204,6140635,1,1,2,4,5
14442,1213287,1,1,1,1,2
34181,3172921,1,1,2,1,1
29001,1264566,1,1,2,1,1
27497,147259,1,0,3,1,2
24421,2961517,1,1,3,1,4
9813,4723435,1,1,3,1,1
36685,4781946,1,1,3,4,1
27319,4155767,1,1,3,1,4
6034,5234629,1,1,4,1,1
11738,803973,1,0,3,1,1
35765,4201285,1,0,3,1,1
1785,6464847,1,1,3,4,1
30723,5061438,1,0,2,1,1
17455,6425660,1,0,3,1,2
35557,1613384,1,1,3,1,1
12254,2416486,1,1,2,1,1
12628,1477200,1,1,1,4,1
5642,4088681,1,1,2,1,2
20514,3245858,1,1,3,4,1
24994,52036,1,1,3,1,3
14124,155977,1,0,3,2,2
11430,4462484,1,1,4,4,1
20334,2685986,1,1,2,1,2
27458,253309,1,1,1,2,1
8900,3463309,1,1,3,1,1
36371,1075452,1,0,1,1,1
17396,2178066,1,0,3,1,2
29470,6453264,1,1,2,2,1
28682,4307468,1,1,4,1,1
18814,1941608,1,1,1,1,1
8838,2276589,1,0,3,3,6
15332,244734,1,0,3,1,1
28383,2947376,1,1,2,1,2
1684,574386,1,1,3,1,1
30856,4859232,1,1,2,1,1
21964,6305483,1,1,2,1,1
10463,1160900,1,1,1,1,1
19780,4024046,1,1,2,1,1
17651,2222217,1,1,2,1,5
3724,4759421,1,0,2,1,2
893,5654895,1,1,3,2,1
83,1069308,1,1,3,3,2
5888,3596826,1,1,3,1,1
26982,1033128,1,1,2,1,2
22314,180832,1,1,1,1,1
20082,4743663,1,1,4,3,1
28945,816022,1,1,2,4,3
21678,2868279,1,1,3,4,1
5314,6330256,1,1,2,1,30
9470,3717251,1,0,1,1,1
23387,5902719,1,1,2,1,5
1506,6579726,1,1,1,1,25
28981,6587229,1,1,2,1,2
33413,4189531,1,1,5,1,1
8669,5553736,1,1,1,4,1
9484,1762625,1,0,2,1,1
12022,4995581,1,1,3,1,1
2171,2596540,1,1,2,1,1
28565,6550779,1,1,3,1,1
27886,3565131,1,1,4,1,1
27423,1947530,1,1,1,1,30
17658,1067504,1,1,2,1,3
19871,4328418,1,1,3,1,1
20220,3490333,1,1,2,4,1
14492,367143,1,1,1,1,3
6757,2222707,1,1,3,3,1
10920,6133962,1,1,3,2,1
21134,2914001,1,1,2,1,1
3122,544921,1,1,3,4,1
4652,1441183,1,1,3,1,3
36769,4790673,1,1,2,1,20
33969,1960135,1,1,2,1,4
35184,6367458,1,1,2,1,1
22089,14047,1,0,1,4,20
12321,4722303,1,1,3,1,1
22326,6156306,1,1,2,1,1
7048,703414,1,1,4,2,1
8880,1619490,1,1,3,1,1
30407,4986964,1,1,1,1,1
8563,1316082,1,1,2,1,2
35248,543981,1,1,3,1,5
17386,1678040,1,1,2,1,1
18765,4849577,1,1,4,1,1
4770,327623,1,1,2,1,1
36185,1819665,1,0,2,1,1
29035,6187143,1,1,1,4,1
8632,2181233,1,1,4,1,2
21707,650736,1,1,3,4,2
27509,4336536,1,1,1,1,1
25699,2186159,1,1,3,1,3
11365,1832715,1,1,2,1,1
30623,127709,1,1,3,1,1
9290,5270935,1,1,2,1,1
20126,483886,1,1,3,1,1
23982,2092046,1,1,3,1,1
11922,6184300,1,0,3,1,1
7001,4316619,1,1,2,1,1
33301,777905,1,1,3,3,1
34777,1720030,1,1,2,1,5
24987,6569050,1,1,1,1,5
10205,4927469,1,1,2,1,1
27873,5514914,1,1,2,1,1
28674,284390,1,1,3,1,1
7624,5776208,1,1,2,1,6
29778,5447365,1,1,2,1,1
6302,3195521,1,1,2,1,6
36262,187138,1,1,2,4,2
35325,956269,1,1,3,1,1
14858,5882624,1,1,3,1,4
23394,1185065,1,1,1,1,4
26189,855789,1,1,1,1,4
20595,5887747,1,1,3,1,1
24131,6466428,1,1,3,1,1
21394,4967294,1,1,2,1,2
10595,3938548,1,1,3,4,1
9508,952394,1,0,3,1,1
29020,5997423,1,1,2,4,1
3639,1358566,1,1,2,1,1
5551,6225880,1,1,3,1,1
14683,3206582,1,0,4,1,1
14821,5798172,1,1,2,1,3
13338,5532224,1,1,4,1,1
20868,6267957,1,1,3,1,3
33954,2713457,1,1,1,1,1
12992,1244222,1,0,2,3,1
36560,3337372,1,0,4,1,1
8294,6500134,1,1,3,1,2
4036,1729275,1,1,1,1,1
34425,5923091,1,1,1,1,4
4074,6111849,1,1,2,1,1
27656,1968329,1,0,2,1,1
4800,2725938,1,1,3,1,1
7986,2975786,1,1,2,1,4
30406,5109791,1,0,2,1,1
14012,6030641,1,1,2,1,1
10624,1488087,1,1,2,3,1
19413,5861353,1,1,3,1,1
15624,486996,1,0,2,1,2
26974,2726783,1,1,5,1,6
13756,5845722,1,1,3,1,1
25899,5509560,1,1,4,1,3
2264,669389,1,1,1,1,1
7475,3279252,1,1,3,1,1
26695,5428545,1,1,2,1,2
30990,4212899,1,0,2,1,1
34601,4252010,1,1,2,1,1
17614,913870,1,1,1,1,2
26495,1636685,1,1,3,1,1
26687,4949334,1,1,3,1,10
22838,965518,1,1,2,4,1
31250,435262,1,0,5,1,1
24543,4804798,1,1,4,1,5
32981,3441838,1,0,4,1,2
24396,4296746,1,1,1,1,4
11571,3565490,1,1,3,1,2
30690,84230,1,1,2,1,1
32617,2210373,1,1,2,1,1
3005,4309799,1,1,2,1,2
22808,4616602,1,1,2,4,1
4424,1583086,1,1,1,1,1
19540,199679,1,0,3,1,1
28681,3888511,1,1,4,1,1
36549,534876,1,1,4,1,1
33368,1964210,1,0,2,1,1
16154,1345123,1,1,3,1,3
16410,5247908,1,0,2,3,1
17473,6478639,1,1,3,1,3
6720,5633403,1,1,1,1,1
34033,4073494,1,1,2,1,2
36720,5786960,1,0,3,4,1
19047,1765328,1,1,2,1,2
14376,88548,1,1,1,1,9
31374,985167,1,0,3,1,1
24646,274560,1,1,3,1,1
790,5975901,1,1,3,1,1
9862,848204,1,1,3,1,1
7438,1078103,1,1,2,1,2
21564,4203415,1,1,1,4,1
34236,2719683,1,1,2,1,5
33083,3015928,1,1,3,1,1
4419,1030168,1,0,4,1,1
19007,3179607,1,1,2,1,2
16426,2498395,1,1,3,1,5
13063,2820002,1,1,2,1,1
22256,3488380,1,1,2,1,1
442,2163982,1,1,2,3,1
6907,4027369,1,1,2,1,2
19128,757068,1,1,2,1,1
10028,4366469,1,1,1,1,1
27753,5548611,1,0,4,1,5
8204,5403719,1,1,2,1,1
23614,1883325,1,1,3,1,1
4175,3485947,1,0,3,4,10
30434,702793,1,1,3,1,1
15293,625293,1,0,2,1,4
23055,4909182,1,1,2,4,1
22372,5026240,1,1,3,1,1
2431,2085703,1,1,2,1,11
20149,6322424,1,1,3,1,1
8423,2316331,1,1,1,1,1
11846,4235745,1,1,3,1,1
12179,2057943,1,1,2,1,1
16471,6430093,1,1,3,1,2
30011,2162862,1,1,2,1,1
12409,4327596,1,1,2,1,1
27714,1261653,1,1,2,1,5
26990,4098323,1,0,3,3,1
18635,4933947,1,1,4,1,1
24948,5570031,1,1,3,1,1
17896,5640123,1,0,3,1,1
7046,703414,1,1,4,1,1
4885,443035,1,1,3,1,1
32498,252159,1,1,3,1,60
32077,4031356,1,0,3,1,1
20555,2420072,1,1,3,2,1
15677,4266537,1,1,1,1,1
14775,1871380,1,1,2,1,1
3536,1025846,1,1,3,1,1
17481,6490905,1,1,3,1,1
15172,6022781,1,1,3,1,1
16511,2651668,1,0,2,1,3
27189,4386353,1,0,3,1,5
12284,2035856,1,1,3,1,1
17579,3384548,1,1,2,1,1
7876,6348541,1,1,2,1,1
8736,5721283,1,1,2,1,1
2232,1815930,1,1,2,1,1
30232,826691,1,1,2,1,1
535,2545621,1,1,2,1,1
15412,278981,1,1,3,1,1
14899,3307165,1,1,4,1,1
8766,5497164,1,1,2,2,2
13106,6011853,1,1,2,1,1
4846,14338,1,1,2,1,1
17226,2246962,1,1,2,3,1
1583,5625434,1,1,2,1,1
11418,820088,1,1,3,4,1
22602,1408013,1,0,4,3,1
2528,2594725,1,1,2,1,1
15243,4787272,1,1,2,1,1
650,6295098,1,0,3,1,1
20887,4278005,1,1,3,1,1
11779,1598390,1,0,1,1,1
6454,1441371,1,1,2,1,1
30591,342814,1,1,2,1,1
7247,3551944,1,1,3,1,1
26378,3562060,1,1,2,2,1
21103,1773343,1,1,1,1,2
19382,4615627,1,1,2,1,1
641,860280,1,1,4,2,1
21596,5810662,1,1,2,2,1
28545,2546473,1,0,2,1,1
30855,4859232,1,1,2,1,1
5100,3379245,1,1,2,1,1
18636,4933947,1,1,4,1,1
26951,163803,1,1,2,1,2
12877,6010335,1,1,2,1,1
29142,4791708,1,1,2,4,1
20782,4138586,1,1,3,1,1
16047,5715293,1,1,3,1,1
13903,6561362,1,1,3,1,1
3799,1938374,1,1,1,1,1
3305,5487472,1,1,2,2,1
14929,2545837,1,1,1,1,1
9569,1442038,1,0,2,1,2
20129,4143986,1,0,3,1,1
24753,2072812,1,1,2,1,1
15983,3574758,1,1,3,2,1
15760,371211,1,1,2,1,1
5253,5638783,1,1,2,1,1
36725,1734843,1,0,3,1,4
13980,3276280,1,1,2,1,1
25959,1129716,1,1,3,1,2
8740,2066011,1,1,4,1,1
427,1113939,1,1,3,4,4
6945,3882171,1,1,4,4,20
11249,1378566,1,1,1,4,3
31472,3039852,1,1,3,1,1
16,1915490,1,1,3,1,1
25408,1874506,1,1,3,2,2
25913,3109990,1,1,3,1,5
24632,634039,1,1,2,1,2
6922,4285798,1,1,3,1,1
20222,6165918,1,1,2,4,1
15437,3549626,1,1,2,1,1
30358,3541176,1,0,3,1,1
32927,4198167,1,1,3,1,1
23572,3525118,1,1,3,1,1
34335,1091601,1,0,3,1,1
905,5654895,1,1,3,1,1
3692,1242081,1,1,2,4,4
18530,2951809,1,1,1,1,1
14193,1238653,1,1,2,1,1
12934,5650840,1,1,3,1,1
1933,6133129,1,0,2,4,2
8991,3124119,1,0,4,1,1
15882,154750,1,0,3,1,1
28537,3933994,1,1,3,1,1
34176,3786635,1,1,2,1,1
23907,2823989,1,1,3,2,2
12653,1273676,1,1,3,1,1
27487,4715904,1,1,2,1,1
5701,1411385,1,1,2,1,1
11696,1271792,1,1,2,4,2
24840,4919301,1,1,3,1,1
24981,5322759,1,1,2,1,1
5364,1682093,1,1,2,1,5
7342,4089433,1,1,2,2,1
32260,5645096,1,1,3,1,1
34285,5440568,1,1,1,1,19
7896,1025577,1,0,5,1,2
15716,531581,1,1,2,4,1
32555,1058791,1,1,1,1,1
14727,390802,1,1,4,1,1
29572,670108,1,1,2,1,2
20675,3605835,1,1,3,1,4
7857,5676550,1,1,2,1,3
17594,2708194,1,1,2,1,3
17874,3224421,1,0,4,1,2
24572,5881203,1,0,1,1,1
7276,2369852,1,1,3,1,2
27436,4448048,1,1,1,1,1
23847,2863298,1,1,2,2,1
6220,5485594,1,1,2,1,1
27431,3901631,1,1,4,1,60
12460,211606,1,1,1,1,1
24192,1195143,1,1,1,1,4
3612,2034464,1,1,2,1,1
14892,2893642,1,1,2,3,3
11776,3885885,1,1,5,1,1
8910,2111243,1,1,3,1,1
1270,5166308,1,0,3,2,2
27623,4458911,1,1,3,2,2
34371,2257968,1,1,3,1,2
9076,2530783,1,1,2,1,1
25099,5913547,1,1,3,2,2
15054,4119632,1,1,3,2,1
18558,4852044,1,1,3,1,1
19092,3511240,1,1,3,1,1
3061,3133488,1,1,2,1,1
28126,5393594,1,1,2,1,1
35304,128849,1,1,3,1,1
10700,6171478,1,1,4,3,2
30233,4066562,1,1,2,1,1
30012,6074399,1,1,2,1,1
13166,3923293,1,1,2,1,1
13518,3529686,1,1,3,1,1
8302,198758,1,1,3,4,1
36574,2728305,1,1,3,1,1
1716,6219936,1,0,2,1,10
10140,2315884,1,1,3,1,1
19550,2086395,1,1,1,1,2
28057,6498770,1,1,5,1,1
34310,4404499,1,1,2,1,2
16120,5734241,1,1,2,1,5
24858,6432108,1,0,3,3,1
21310,6306899,1,1,2,1,1
6223,5672848,1,0,4,1,1
26804,5142033,1,1,2,1,2
22472,4578638,1,1,3,1,1
2209,5875042,1,1,2,2,1
32432,5328837,1,1,1,1,1
9657,2847592,1,1,2,1,1
1968,4752705,1,1,3,2,1
26991,5915488,1,1,3,1,2
24504,4495561,1,1,2,1,1
7759,369779,1,1,4,1,1
20232,4912754,1,0,2,1,1
31386,1236934,1,1,1,1,1
18659,5789714,1,1,5,2,2
26578,4654461,1,0,4,1,2
30482,6382895,1,1,3,1,1
768,14325,1,1,3,1,1
14160,5283379,1,0,2,1,1
18577,126845,1,0,2,1,1
30538,5826736,1,1,2,1,1
22474,2269861,1,1,2,1,1
12754,460851,1,0,2,1,1
22053,1583104,1,1,2,4,10
17498,5680036,1,1,1,1,1
4960,4923156,1,1,3,1,1
21239,2572385,1,1,5,1,1
11816,2853203,1,1,1,1,1
10964,2686886,1,1,2,2,1
29023,46972,1,0,3,4,15
32552,4629316,1,1,2,1,1
32734,5264162,1,1,2,1,1
14208,3889874,1,1,3,1,2
1629,6165942,1,1,2,1,2
21540,3944340,1,1,2,4,1
30261,5531638,1,1,2,1,1
21623,5420893,1,1,3,4,2
22787,2686568,1,1,2,4,1
30614,6088021,1,1,1,1,1
9170,6332884,1,1,2,1,2
8259,4711723,1,1,2,4,1
5577,1007525,1,1,1,1,1
4460,1764962,1,1,1,1,1
1150,5036268,1,1,3,1,1
18598,6530785,1,1,2,1,2
7953,4797946,1,1,2,1,1
19162,4123292,1,1,2,1,1
11872,435019,1,1,3,1,1
17242,5400456,1,1,2,1,1
34833,1039822,1,1,2,3,1
4558,5620385,1,0,3,1,1
17101,722525,1,1,3,2,1
26713,1805417,1,1,2,1,2
5663,1654070,1,0,2,1,2
28503,5552898,1,1,3,1,1
18646,5789714,1,1,5,2,2
